キー,きー
セル,せる
タグ,たぐ
ヌル,ぬる
バグ,ばぐ
バス,ばす
ハブ,はぶ
ログ,ろぐ
アプリ,あぷり
移行,いこう
ウェブ,うぇぶ
監視,かんし
管理,かんり
キュー,きゅー
コード,こーど
ソフト,そふと
タスク,たすく
定義,ていぎ
データ,でーた
テスト,てすと
ハード,はーど
ビルド,びるど
フラグ,ふらぐ
ポート,ぽーと
保守,ほしゅ
保存,ほぞん
メール,めーる
メモリ,めもり
ルータ,るーた
論理,ろんり
アドオン,あどおん
アナログ,あなろぐ
暗号,あんごう
ウイルス,ういるす
運用,うんよう
回線,かいせん
開発,かいはつ
仮想化,かそうか
関係,かんけい
関数,かんすう
機械語,きかいご
クッキー,くっきー
クラウド,くらうど
クラスタ,くらすた
計測,けいそく
構文,こうぶん
コンテナ,こんてな
サーバー,さーばー
システム,しすてむ
実行,じっこう
実装,じっそう
自動化,じどうか
スイッチ,すいっち
スタック,すたっく
スレッド,すれっど
制御,せいぎょ
設計,せっけい
端末,たんまつ
チャット,ちゃっと
通信,つうしん
デコード,でこーど
デプロイ,でぷろい
電文,でんぶん
ドメイン,どめいん
配列,はいれつ
ハッシュ,はっしゅ
ビーコン,びーこん
ファイル,ふぁいる
復号,ふくごう
ブラウザ,ぶらうざ
プロセス,ぷろせす
変数,へんすう
ユーザー,ゆーざー
リソース,りそーす
レガシー,れがしー
列挙,れっきょ
ローンチ,ろーんち
アーカイブ,あーかいぶ
暗号化,あんごうか
エンコード,えんこーど
稼働率,かどうりつ
木構造,きこうぞう
疑似言語,ぎじげんご
基礎化学,きそかがく
コンパイラ,こんぱいら
コンパイル,こんぱいる
サーバレス,さーばれす
サムネイル,さむねいる
ストレージ,すとれーじ
セッション,せっしょん
ディジタル,でぃじたる
テザリング,てざりんぐ
特徴量,とくちょう
認証,にんしょう
パスワード,ぱすわーど
バックドア,ばっくどあ
パッケージ,ぱっけーじ
ハッシュ値,はっしゅち
バッファー,ばっふぁー
負荷テスト,ふかてすと
プラグイン,ぷらぐいん
プロトコル,ぷろとこる
マルウェア,まるうぇあ
メタバース,めたばーす
文字コード,もじこーど
モジュール,もじゅーる
ライセンス,らいせんす
ライブラリ,らいぶらり
アルゴリズム,あるごりずむ
イーサリアム,いーさりあむ
インシデント,いんしでんと
インタプリタ,いんたぷりた
オンプレミス,おんぷれみす
解析学,かいせきがく
過学習,かがくしゅう
仮想記憶,かそうきおく
画像処理,がぞうしょり
仮想通貨,かそうつうか
仮想マシン,かそうましん
画面遷移,がめんせんい
関数論,かんすうろん
記憶装置,きおくそうち
基礎力学,きそりきがく
クラッキング,くらっきんぐ
ゲートウェイ,げーとうぇい
故障率,こしょうりつ
処理速度,しょりそくど
スラッシング,すらっしんぐ
正規分布,せいきぶんぷ
セキュリティ,せきゅりてぃ
絶対パス,ぜったいぱす
相対パス,そうたいぱす
ソースコード,そーすこーど
ソフトウェア,そふとうぇあ
ダークウェブ,だーくうぇぶ
チップセット,ちっぷせっと
抽象,ちゅうしょう
ディスプレイ,でぃすぷれい
データ可視化,でーたかしか
データ同期,でーたどうき
データベース,でーたべーす
データレイク,でーたれいく
デッドロック,でっどろっく
ネットワーク,ねっとわーく
ハードウェア,はーどうぇあ
バックアップ,ばっくあっぷ
バッチ処理,ばっちしょり
ハフマン法,はふまんほう
バブルソート,ばぶるそーと
ピクトグラム,ぴくとぐらむ
ビッグデータ,びっぐでーた
フィッシング,ふぃっしんぐ
フィンテック,ふぃんてっく
フリーウェア,ふりーうぇあ
ホスティング,ほすてぃんぐ
マザーボード,まざーぼーど
無向グラフ,むこうぐらふ
論理回路,ろんりかいろ
暗号理論,あんごうりろん
インタフェース,いんたふぇーす
エミュレーター,えみゅれーたー
エンドポイント,えんどぽいんと
オープンソース,おーぷんそーす
画像認識,がぞうにんしき
関数定義,かんすうていぎ
機械翻訳,きかいほんやく
クイックソート,くいっくそーと
計算理論,けいさんりろん
構成管理,こうせいかんり
コードレビュー,こーどれびゅー
ことばと論理,ことばとろんり
コマンドライン,こまんどらいん
コンピューター,こんぴゅーたー
コンポーネント,こんぽーねんと
サードパーティ,さーどぱーてぃ
再帰関数,さいきかんすう
シミュレーター,しみゅれーたー
述語論理,じゅつごろんり
人工知能,じんこうちのう
数値解析,すうちかいせき
スーパーアプリ,すーぱーあぷり
脆弱性,ぜいじゃくせい
セキュアブート,せきゅあぶーと
センサーデータ,せんさーでーた
選択ソート,せんたくそーと
耐タンパ性,たいたんぱせい
タイムスタンプ,たいむすたんぷ
データセンター,でーたせんたー
データドリブン,でーたどりぶん
データフィード,でーたふぃーど
データ分析,でーたぶんせき
テスト自動化,てすとじどうか
電子署名,でんししょめい
トロイの木馬,とろいのもくば
ナレッジベース,なれっじべーす
非決定性,ひけっていせい
ブルートゥース,ぶるーとぅーす
フレームワーク,ふれーむわーく
プロキシサーバ,ぷろきしさーば
プログラミング,ぷろぐらみんぐ
分散処理,ぶんさんしょり
並列処理,へいれつしょり
ベクターデータ,べくたーでーた
ポートスキャン,ぽーとすきゃん
マイルストーン,まいるすとーん
マシンビジョン,ましんびじょん
マルチクラウド,まるちくらうど
マルチスレッド,まるちすれっど
メインフレーム,めいんふれーむ
有向グラフ,ゆうこうぐらふ
要件定義,ようけんていぎ
ランサムウェア,らんさむうぇあ
離散数学,りさんすうがく
アクセシビリティ,あくせしびりてぃ
アクセス権限,あくせすけんげん
アクセス制御,あくせすせいぎょ
アクセスポイント,あくせすぽいんと
アクチュエーター,あくちゅえーたー
アセンブリ言語,あせんぶりげんご
アンチパスバック,あんちぱすばっく
応用数学,おうようすうがく
音声認識,おんせいにんしき
外部認証,がいぶにんしょう
確率統計,かくりつとうけい
仮想化技術,かそうかぎじゅつ
仮想環境,かそうかんきょう
機械学習,きかいがくしゅう
基礎熱力学,きそねつりきがく
揮発性メモリ,きはつせいめもり
キャッシュメモリ,きゃっしゅめもり
クラウドインフラ,くらうどいんふら
コンテナ技術,こんてなぎじゅつ
コンパイラ言語,こんぱいらげんご
サーバー仮想化,さーばーかそうか
サイバー攻撃,さいばーこうげき
主記憶装置,しゅきおくそうち
情報資産,じょうほうしさん
情報処理,じょうほうしょり
情報理論,じょうほうりろん
シンギュラリティ,しんぎゅらりてぃ
スクラム開発,すくらむかいはつ
スクリプト言語,すくりぷとげんご
ゼロデイ攻撃,ぜろでいこうげき
対話型処理,たいわがたしょり
通信制御,つうしんせいぎょ
データサイエンス,でーたさいえんす
デュアルシステム,でゅあるしすてむ
転移学習,てんいがくしゅう
トランザクション,とらんざくしょん
二次記憶装置,にじきおくそうち
バージョン管理,ばーじょんかんり
パケット通信,ぱけっとつうしん
ハッシュ関数,はっしゅかんすう
非同期通信,ひどうきつうしん
ファイアウォール,ふぁいあうぉーる
フラッシュメモリ,ふらっしゅめもり
ブロックチェーン,ぶろっくちぇーん
分散システム,ぶんさんしすてむ
ベクトル変換,べくとるへんかん
ホットスタンバイ,ほっとすたんばい
マイグレーション,まいぐれーしょん
マイクロウイルス,まいくろういるす
マイクロサービス,まいくろさーびす
マイニング処理,まいにんぐしょり
ムーアの法則,むーあのほうそく
リモートアクセス,りもーとあくせす
リモート接続,りもーとせつぞく
量子力学,りょうしりきがく
理論言語学,りろんげんごがく
レガシーシステム,れがしーしすてむ
レスポンスタイム,れすぽんすたいむ
ログ出力,ろぐしゅつりょく
ワイヤーフレーム,わいやーふれーむ
ワンクリック詐欺,わんくりっくさぎ
アジャイル開発,あじゃいるかいはつ
アローダイヤグラム,あろーだいやぐらむ
暗号化通信,あんごうかつうしん
オートスケーリング,おーとすけーりんぐ
オートマトン理論,おーとまとんりろん
オブジェクト指向,おぶじぇくとしこう
開発環境,かいはつかんきょう
可逆圧縮,かぎゃくあっしゅく
仮想化環境,かそうかかんきょう
活性化関数,かっせいかかんすう
基礎制御理論,きそせいぎょりろん
強化学習,きょうかがくしゅう
クラウドネイティブ,くらうどねいてぃぶ
コールドスタンバイ,こーるどすたんばい
サブスクリプション,さぶすくりぷしょん
システムエンジニア,しすてむえんじにあ
システムプログラム,しすてむぷろぐらむ
自然言語処理,しぜんげんごしょり
情報リテラシ,じょうほうりてらし
シングルサインオン,しんぐるさいんおん
深層学習,しんそうがくしゅう
スクラッチ開発,すくらっちかいはつ
ストレージサービス,すとれーじさーびす
生体認証,せいたいにんしょう
セキュリティホール,せきゅりてぃほーる
ゼロトラストモデル,ぜろとらすともでる
ソースコード管理,そーすこーどかんり
多要素認証,たようそにんしょう
チューリングマシン,ちゅーりんぐましん
ディープラーニング,でぃーぷらーにんぐ
データウェアハウス,でーたうぇあはうす
データクレンジング,でーたくれんじんぐ
トークン認証,とーくんにんしょう
ノーコード開発,のーこーどかいはつ
ハイパーパラメータ,はいぱーぱらめーた
ハッキング対策,はっきんぐたいさく
バックエンド処理,ばっくえんどしょり
微分方程式,びぶんほうていしき
秘密鍵暗号,ひみつかぎあんごう
プロトコル変換,ぷろとこるへんかん
マルウェア対策,まるうぇあたいさく
ユーザー認証,ゆーざーにんしょう
リスクアセスメント,りすくあせすめんと
レジスタ計算機,れじすたけいさんき
ローコード開発,ろーこーどかいはつ
ログイン認証,ろぐいんにんしょう
アプリケーション層,あぷりけーしょんそう
ガーベジコレクション,がーべじこれくしょん
カレントディレクトリ,かれんとでぃれくとり
基礎解析力学,きそかいせきりきがく
クリックジャッキング,くりっくじゃっきんぐ
クリプトジャッキング,くりぷとじゃっきんぐ
クロスバリデーション,くろすばりでーしょん
形式言語理論,けいしきげんごりろん
検索アルゴリズム,けんさくあるごりずむ
公開鍵暗号,こうかいかぎあんごう
材料無機化学,ざいりょうむきかがく
ショルダーハッキング,しょるだーはっきんぐ
ストリーミング処理,すとりーみんぐしょり
スマートコントラクト,すまーとこんとらくと
赤外線通信,せきがいせんつうしん
セキュリティ診断,せきゅりてぃしんだん
セキュリティ対策,せきゅりてぃたいさく
線形回帰モデル,せんけいかいきもでる
線形代数学,せんけいだいすうがく
線形探索法,せんけいたんさくほう
ソフトウェア設計,そふとうぇあせっけい
大規模言語モデル,だいきぼげんごもでる
ディスクスケジューラ,でぃすくすけじゅーら
データベース構造,でーたべーすこうぞう
ネットワーク仮想化,ねっとわーくかそうか
ネットワーク設定,ねっとわーくせってい
ノーマライゼーション,のーまらいぜーしょん
ハードウェア制御,はーどうぇあせいぎょ
パスワードハッシュ化,ぱすわーどはっしゅか
バックエンド開発,ばっくえんどかいはつ
パフォーマンステスト,ぱふぉーまんすてすと
汎用コンピュータ,はんようこんぴゅーた
ファイル拡張子,ふぁいるかくちょうし
ファインチューニング,ふぁいんちゅーにんぐ
不可逆圧縮,ふかぎゃくあっしゅく
プライバシーポリシー,ぷらいばしーぽりしー
フラグメンテーション,ふらぐめんてーしょん
プログラミング言語,ぷろぐらみんぐげんご
ホスティングサービス,ほすてぃんぐさーびす
待ち行列理論,まちぎょうれつりろん
マルチコアプロセッサ,まるちこあぷろせっさ
メモリリーク対策,めもりりーくたいさく
リアルタイム解析,りあるたいむかいせき
リアルタイム分析,りあるたいむぶんせき
量子コンピュータ,りょうしこんぴゅーた
連続体力学,れんぞくたいりきがく
ワンタイムパスワード,わんたいむぱすわーど
医工学連携基礎,いこうがくれんけいきそ
移動および速度論,いどうおよびそくどろん
インフラ自動構築,いんふらじどうこうちく
オーセンティケーション,おーせんてぃけーしょん
音声合成モデル,おんせいごうせいもでる
開発フレームワーク,かいはつふれーむわーく
仮想化基盤技術,かそうかきばんぎじゅつ
監査ログ管理機構,かんさろぐかんりきこう
機械翻訳エンジン,きかいほんやくえんじん
教師あり学習,きょうしありがくしゅう
教師なし学習,きょうしなしがくしゅう
クラスタリング手法,くらすたりんぐしゅほう
高可用性設計,こうかようせいせっけい
材料有機化学,ざいりょうゆうきかがく
情報セキュリティ,じょうほうせきゅりてぃ
スレッドセーフ設計,すれっどせーふせっけい
セッションハイジャック,せっしょんはいじゃっく
ダイバーシティアンテナ,だいばーしてぃあんてな
デファクトスタンダート,でふぁくとすたんだーど
デフォルトゲートウェイ,でふぉるとげーとうぇい
デュプレックスシステム,でゅぷれっくすしすてむ
統計数理工学,とうけいすうりこうがく
ドメインネームサービス,どめいんねーむさーびす
ニューラルネットワーク,にゅーらるねっとわーく
入力検証,にゅうりょくけんしょう
バックプロパゲーション,ばっくぷろぱげーしょん
ブラックボックステスト,ぶらっくぼっくすてすと
プロジェクトラーニング,ぷろじぇくとらーにんぐ
プロビジョニングツール,ぷろびじょにんぐつーる
フロントエンド開発,ふろんとえんどかいはつ
フロントエンド設計,ふろんとえんどせっけい
並列処理技術,へいれつしょりぎじゅつ
ペネトレーションテスト,ぺねとれーしょんてすと
水飲み場型攻撃,みずのみばがたこうげき
メールサーバー構築,めーるさーばーこうちく
量子計算理論,りょうしけいさんりろん
エッジコンピューティング,えっじこんぴゅーてぃんぐ
オペレーティングシステム,おぺれーてぃんぐしすてむ
外部デバイス認証,がいぶでばいすにんしょう
仮想ネットワーク分離,かそうねっとわーくぶんり
キャリアアグリゲーション,きゃりああぐりげーしょん
計算機アーキテクチャ,けいさんきあーきてくちゃ
コンピュータネットワーク,こんぴゅーたねっとわーく
サンドボックス環境,さんどぼっくすかんきょう
システムインテグレーター,しすてむいんてぐれーたー
システムエンジニアリング,しすてむえんじにありんぐ
システム最適化理論,しすてむさいてきかりろん
自然言語理解モデル,しぜんげんごりかいもでる
情報社会倫理,じょうほうしゃかいりんり
侵入検知システム,しんにゅうけんちしすてむ
スマートフォン認証,すまーとふぉんにんしょう
